channel,FIR_DC_weights
CPSHAM3XIMC,1.2711139771469395
CPSHAM2XIMC,-1.2693655669947177
CPSEXDARM,-0.019215947427608022
CPSEYDARM,0.02401357224110141
CPSIYDARM,-0.01924979183845364
CPSIXDARM,0.006489002273666707
