cavity,group,folder,CRMS_Real,CRMS_Res,mean_blrms,supp,variance_explained,variance_explained_percent,CRMS_Delay_Res,supp_Delay
DARM,Blind_Noisy,1422266402,9.352011960111473e-07,1.1538165414684564e-07,943.7833880620644,8.105285046623804,0.984778291018494,98.4778291018494,6.362833691559798e-07,1.4697872698632333
DARM,Blind_Noisy,1424689218,7.331226108898352e-07,7.957901779859576e-08,1023.6653144097806,9.212511427890126,0.9882173244019268,98.82173244019268,5.315596654306339e-07,1.3791915725883914
PRCL,Blind_Noisy,1422266402,5.47337984264436e-07,2.0040308579475556e-08,943.7833880620644,27.31185411111866,0.9986594048863453,99.86594048863454,3.318450963069567e-07,1.6493779487949656
PRCL,Blind_Noisy,1424689218,4.0565040319634855e-07,2.0763185645861618e-08,1023.6653144097806,19.5370021785265,0.9973801034068056,99.73801034068056,2.622141824232209e-07,1.547019308595664
SRCL,Blind_Noisy,1422266402,4.875389071183787e-07,2.059929236106663e-08,943.7833880620644,23.667750259219776,0.998214803428728,99.8214803428728,2.4152934686748856e-07,2.018549354111654
SRCL,Blind_Noisy,1424689218,4.559379373708932e-07,2.0460085313613522e-08,1023.6653144097806,22.28426374485965,0.9979862598913855,99.79862598913854,1.725785844873806e-07,2.6419149208181887
MICH,Blind_Noisy,1422266402,7.061171516157986e-07,2.7251849725876825e-08,943.7833880620644,25.910797201604613,0.998510507058129,99.85105070581291,1.2563464577440764e-07,5.620401500424638
MICH,Blind_Noisy,1424689218,5.816839319670981e-07,2.7072707814385164e-08,1023.6653144097806,21.48599009582701,0.9978338463561994,99.78338463561994,9.678928184743691e-08,6.009796961650891
IMC,Blind_Noisy,1422266402,3.481266016697647e-07,1.046291941545166e-08,943.7833880620644,33.27241545563762,0.9990967013948802,99.90967013948801,1.3194519798768542e-07,2.6384181234261797
IMC,Blind_Noisy,1424689218,2.917154677650668e-07,1.0970640244095053e-08,1023.6653144097806,26.590560010577562,0.9985856886318424,99.85856886318423,1.21340049426794e-07,2.4041152871052884
FC,Blind_Noisy,1422266402,3.899692644168226e-07,8.268503164723174e-08,943.7833880620644,4.71632236993742,0.955043443829769,95.5043443829769,1.3640783785975676e-07,2.8588479264494806
FC,Blind_Noisy,1424689218,2.3922776176938743e-07,4.1114323980310326e-08,1023.6653144097806,5.818598936077698,0.9704632196367007,97.04632196367007,9.662049703270515e-08,2.4759525061065566
